"Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Referee","HST","AST","HF","AF","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","PSH","PSD","PSA","WHH","WHD","WHA","VCH","VCD","VCA","MaxH","MaxD","MaxA","AvgH","AvgD","AvgA"
"12/09/2020","12:30","Fulham","Arsenal",0,3,"A","C Kavanagh",2,6,12,12,2,2,0,0,6,4.33,1.53,5.5,4.25,1.57,6,3.9,1.57,6.16,4.51,1.56,6.5,4.2,1.53,6.5,4.2,1.55,6.55,4.55,1.6,5.94,4.34,1.55
"12/09/2020","15:00","Crystal Palace","Southampton",1,0,"H","J Moss",3,5,14,11,2,1,0,0,3.1,3.25,2.37,3,3.2,2.45,3.15,2.95,2.4,3.32,3.29,2.4,3.2,3.2,2.35,3.2,3.2,2.4,3.36,3.36,2.5,3.18,3.22,2.39
"12/09/2020","17:30","Liverpool","Leeds",4,3,"H","M Oliver",6,3,9,6,1,0,0,0,1.28,6,9.5,1.26,6.25,10.5,1.35,5,8.5,1.31,6.25,9.92,1.27,6,10,1.3,5.75,10.5,1.35,6.5,10.75,1.3,5.96,9.68
"12/09/2020","20:00","West Ham","Newcastle",0,2,"A","S Attwell",3,2,13,7,2,2,0,0,2.15,3.4,3.4,2.15,3.4,3.4,2.15,3.15,3.4,2.18,3.61,3.5,2.15,3.5,3.4,2.15,3.4,3.6,2.24,3.7,3.6,2.15,3.48,3.42
"13/09/2020","14:00","West Brom","Leicester",0,3,"A","A Taylor",1,7,12,9,1,1,0,0,3.8,3.6,1.95,3.7,3.6,2,3.85,3.2,2,4,3.59,2,3.8,3.6,1.95,4,3.5,1.95,4,3.82,2.04,3.87,3.57,1.97
"13/09/2020","16:30","Tottenham","Everton",0,1,"A","M Atkinson",5,4,15,7,1,0,0,0,1.83,3.6,4.33,1.85,3.6,4.33,1.95,3.25,4.1,1.94,3.57,4.3,1.88,3.5,4.33,1.87,3.5,4.33,1.98,3.68,4.5,1.9,3.55,4.2
"14/09/2020","20:15","Brighton","Chelsea",1,3,"A","C Pawson",3,5,8,13,1,0,0,0,5,4.33,1.61,5,4.1,1.65,5,3.7,1.67,5.36,4.34,1.65,5.25,4,1.65,5.25,3.9,1.65,5.36,4.35,1.71,5.12,4.13,1.65
"14/09/2020","18:00","Sheffield United","Wolves",0,2,"A","M Dean",2,4,13,7,2,1,0,0,3.25,3.1,2.37,3.4,3.1,2.3,3.35,2.7,2.45,3.41,3.03,2.46,3.3,3.1,2.38,3.4,3,2.38,3.46,3.24,2.52,3.36,3,2.41
"19/09/2020","12:30","Everton","West Brom",5,2,"H","M Dean",7,4,9,11,1,0,0,1,1.5,4.2,6.5,1.55,4.2,6,1.55,4,6,1.55,4.33,6.46,1.52,4.2,6.5,1.5,4.2,7,1.59,4.5,7,1.54,4.25,6.3
"19/09/2020","15:00","Leeds","Fulham",4,3,"H","A Taylor",7,6,13,18,1,2,0,0,1.61,3.9,5.75,1.62,4,5.5,1.65,3.7,5.5,1.65,4.05,5.61,1.63,3.9,5.5,1.62,3.9,6,1.7,4.15,6,1.64,3.97,5.5
