team_name,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,goals_scored,goals_conceded,goal_difference,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,fouls,fouls_home,fouls_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,cards_per_match,cards_per_match_home,cards_per_match_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal,21,14,7,7,3,4,10,2,8,1.84,2.37,1.32,5,73,51,22,58,66,42,31,16,35,8,7,1,24,13,11,76,40,36,58,61,56,377,210,167,208,116,92,412,218,194,3.26,3.05,3.47,55,74,37,26,21,37,5,63,68,58,19,12,7,50,63,37,29,42,16,45,37,53,26,21,32,2,2.11,1.89,87,6,9,8,2,8,10,10,7,13,3,7,5,5,9,1,12,1,8
Tottenham,23,12,11,2,2,0,13,5,8,1.87,2,1.74,4,67,39,28,50,56,34,33,16,23,13,7,6,24,13,11,62,21,41,59,61,58,433,236,197,226,124,102,376,175,201,2.79,2.63,2.95,61,63,58,10,34,37,32,63,68,58,27,14,13,71,74,68,50,47,53,29,26,32,21,26,16,1.63,1.11,2.16,89,6,4,11,5,7,8,8,8,10,3,4,1,2,1,6,4,8,10
Man City,32,18,14,2,0,2,4,1,3,2.58,2.84,2.32,1,95,23,72,69,49,57,38,12,11,20,9,11,34,19,15,46,17,29,68,68,68,527,307,220,298,167,131,328,162,166,3.11,3.63,2.58,84,95,74,9,53,47,58,89,100,79,28,13,15,74,68,79,66,68,63,29,26,32,5,5,5,1.21,0.89,1.53,92,12,13,8,9,13,12,12,6,10,0,2,3,3,3,3,4,2,3
Leicester,15,8,7,7,3,4,16,8,8,1.37,1.42,1.32,9,51,48,3,44,55,24,27,20,28,10,6,4,13,6,7,67,37,30,51,54,48,420,238,182,222,118,104,351,184,167,2.61,2.32,2.89,39,42,37,6,26,32,21,34,32,37,16,9,7,42,47,37,18,26,11,39,37,42,42,37,47,1.76,1.95,1.58,68,1,4,5,3,4,7,5,8,14,8,5,1,7,6,4,7,1,9
Crystal Palace,14,5,9,7,5,2,17,9,8,1.29,1.05,1.53,12,51,53,-2,42,62,19,32,23,30,12,7,5,18,7,11,62,27,35,45,47,43,392,222,170,184,94,90,386,180,206,2.74,2.21,3.26,37,26,47,-6,32,37,26,47,37,58,27,13,14,71,68,74,42,32,53,37,42,32,21,26,16,1.63,1.42,1.84,76,1,3,3,10,5,3,7,8,11,1,2,3,4,7,9,8,8,11
Everton,15,10,5,9,4,5,14,5,9,1.42,1.79,1.05,8,54,46,8,51,49,30,24,21,25,14,9,5,20,12,8,63,24,39,52,54,50,396,213,183,207,104,103,432,218,214,2.63,2.68,2.58,39,53,26,10,37,47,26,53,63,42,25,12,13,66,63,68,26,26,26,55,53,58,18,21,16,1.66,1.26,2.05,68,5,8,5,5,4,5,8,6,8,2,2,3,6,9,5,10,5,4
Burnley,11,7,4,7,2,5,20,10,10,1.05,1.21,0.89,15,45,68,-23,56,57,24,21,32,36,8,5,3,13,8,5,77,33,44,41,42,39,309,177,132,150,85,65,360,185,175,2.97,2.95,3,29,37,21,7,21,26,16,34,42,26,19,11,8,50,58,42,24,37,11,45,37,53,32,26,37,2.03,1.74,2.32,79,5,5,3,8,3,5,4,4,8,7,10,6,5,4,7,10,4,15
Southampton,9,5,4,12,8,4,17,6,11,1.03,1.21,0.84,16,45,65,-20,57,53,27,18,30,35,7,3,4,20,12,8,77,43,34,43,43,44,383,207,176,200,108,92,420,219,201,2.89,3,2.79,24,26,21,14,18,16,21,53,63,42,21,10,11,55,53,58,26,32,21,39,42,37,34,26,42,2.03,2.26,1.79,76,3,8,4,3,7,7,3,5,5,5,6,6,7,6,12,5,4,14
Bournemouth,13,8,5,6,5,1,19,6,13,1.18,1.53,0.84,14,56,70,-14,55,71,30,26,25,45,10,6,4,15,11,4,62,38,24,47,46,48,375,191,184,200,100,100,340,188,152,3.32,2.89,3.74,34,42,26,18,26,32,21,39,58,21,18,12,6,47,63,32,29,32,26,34,53,16,37,16,58,1.63,2,1.26,79,3,7,4,7,10,4,3,7,11,4,8,7,11,7,8,8,6,11
Man United,19,10,9,9,6,3,10,3,7,1.74,1.89,1.58,6,65,54,11,58,61,33,32,25,29,7,2,5,20,10,10,81,34,47,55,56,53,434,235,199,263,145,118,433,213,220,3.13,3.05,3.21,50,53,47,5,18,11,26,53,53,53,21,13,8,55,68,42,45,47,42,32,37,26,24,16,32,2.13,1.79,2.47,76,5,6,9,9,7,6,5,8,10,3,6,9,1,7,7,7,7,7
